,ITEM_NAME,ITEM_BRAND,ITEM_PRICE,ITEM_IMG,CATEGORY,ITEM_STATUES,YEAR,MONTH
0,Detol Hand Sanitizer Original 2+1 Free 50 ml,Dettol,22.9,"https://www.nahdionline.com/media/catalog/product/1/0/101488308_0_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
1,Skin Republic Foot Active 18 gm,Skin Republic,31.5,"https://www.nahdionline.com/media/catalog/product/1/0/101013273.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
2,Detol Skin Wipes Skincare 2+1 Free 40s,Dettol,61.95,"https://www.nahdionline.com/media/catalog/product/1/0/101488359_0_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,other,2020,3
3,Lifebuoy Hand Wash Sea Minerals 500 ML,Lifebuoy,26.09,"https://www.nahdionline.com/media/catalog/product/1/0/101488041_0_2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
4,Lifebuoy Hand Wash Sea Minerals 200 ML,Lifebuoy,15.75,"https://www.nahdionline.com/media/catalog/product/1/0/101488050_0_2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
5,Lifebuoy Hand Wash Green Tea And Alovera 200 ML,Lifebuoy,15.75,"https://www.nahdionline.com/media/catalog/product/1/0/101488068_0_2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
6,Lifebuoy Hand Wash Green Tea And Alovera 500 ML,Lifebuoy,26.09,"https://www.nahdionline.com/media/catalog/product/1/0/101488076_0_2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
7,Lifebuoy Hand Wash Oud Protect 500 ML,Lifebuoy,26.09,"https://www.nahdionline.com/media/catalog/product/1/0/101488148_0_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
8,Lifebuoy Hand Wash Oud Protect 200 ML,Lifebuoy,15.75,"https://www.nahdionline.com/media/catalog/product/1/0/101488156_0_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
9,Detol Liquid Hand Wash Skin care  2+1 Free 200 ml,Dettol,31.4,"https://www.nahdionline.com/media/catalog/product/1/0/101488316_0_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
10,Dettol Soap Original 2+1 Free 165g,Dettol,17.72,"https://www.nahdionline.com/media/catalog/product/1/0/101488332_0_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
11,Dettol Soap Skincare 2+1 Free 165g,Dettol,17.72,"https://www.nahdionline.com/media/catalog/product/1/0/101488341_0_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
12,Dettol Hand Wash Nourish Honey 200 ML,Dettol,15.7,"https://www.nahdionline.com/media/catalog/product/1/0/101488367_0_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
13,Dettol Hand Wash Soothe Aloe Vera & Apple 200 ML,Dettol,15.7,"https://www.nahdionline.com/media/catalog/product/1/0/101488375_0_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
14,Dettol Hand Wash Nourish Honey 400 ML,Dettol,30.03,"https://www.nahdionline.com/media/catalog/product/1/0/101488383_0_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
15,Dettol Hand Wash Soothe Aloe Vera & Apple 400 ML,Dettol,30.03,"https://www.nahdionline.com/media/catalog/product/1/0/101488391_0_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
16,Dove Soap Pink 160 gm,Dove,9.2,"https://www.nahdionline.com/media/catalog/product/1/0/100809288_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
17,Lux Hand Wash Tempting Whisper 500 ml,Lux,14.96,"https://www.nahdionline.com/media/catalog/product/1/0/101129276_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
